TD,YD,Release,Daily,%± YD,%± LW,Theaters,Avg,To Date,Days,Distributor,date
12,14,The Marvels,632723,86.1,-45.7,1700,372,82583201,30,Walt Disney Studios Motion Pictures,2023-12-09
13,12,Thanksgiving,544427,53.9,-53.8,2025,268,30169851,23,TriStar Pictures,2023-12-09
14,13,Saltburn,402649,18.4,-37.9,707,569,8295538,23,Warner Bros.,2023-12-09
15,15,Die Hard2023 Re-release,354023,6.9,0.0,1355,261,685073,2,Twenty First Century Entertainment,2023-12-09
16,18,The Holdovers,292610,62.4,-43.8,923,317,16218415,44,Focus Features,2023-12-09
17,19,Dream Scenario,251250,45.7,-59.9,1250,201,4705994,30,A24,2023-12-09
18,16,Poor Things,203762,-27.0,0.0,9,22640,482837,2,Searchlight Pictures,2023-12-09
19,17,Eileen,200646,-18.2,547.8,532,377,577268,9,N/A,2023-12-09
20,21,Oppenheimer,157835,73.5,1528.0,1316,119,325643890,142,Universal Pictures,2023-12-09
21,22,Love Actually2023 Re-release,110185,22.7,0.0,927,118,199971,2,Universal Pictures,2023-12-09
22,23,Taylor Swift: The Eras Tour,95742,66.8,-63.7,636,150,179795023,58,N/A,2023-12-09
23,20,The Oath,89631,-20.1,0.0,640,140,201796,2,Freestyle Releasing,2023-12-09
24,24,Killers of the Flower Moon,83633,62.3,-58.7,247,338,66862849,51,Paramount Pictures,2023-12-09
25,25,Journey to Bethlehem,58615,45.0,-27.8,455,128,6393753,30,Affirm Films,2023-12-09
26,28,Five Nights at Freddy's,50220,91.4,-75.0,265,189,137140035,44,Universal Pictures International (UPI),2023-12-09
27,26,Origin,48854,27.9,0.0,2,24427,87063,2,N/A,2023-12-09
28,29,Radical,48638,86.9,-53.3,150,324,8395021,37,Pantelion Films,2023-12-09
29,27,Priscilla,46675,30.8,-64.9,230,202,20659070,44,A24,2023-12-09
30,30,Next Goal Wins,42072,91.3,-64.2,190,221,6606939,23,Searchlight Pictures,2023-12-09
31,31,Anatomy of a Fall,14118,73.0,-52.4,46,306,3557907,58,N/A,2023-12-09
32,32,Barbie,1610,58.6,-48.8,26,61,636206742,142,Warner Bros.,2023-12-09
33,33,Stop Making Sense2023  Re-release,1056,43.5,-66.2,8,132,5078002,79,N/A,2023-12-09
34,-,Winter Kills2023 Re-release,606,0.0,0.0,2,303,76176,121,Rialto Pictures,2023-12-09
35,39,The Marsh King's Daughter,440,816.7,61.8,2,220,1791891,37,Lionsgate Films,2023-12-09
36,35,After Death,381,-8.6,-79.8,9,42,11475357,44,Angel Studios,2023-12-09
37,34,Peeping Tom2023 Re-release,305,-47.0,-75.4,2,152,19140,44,N/A,2023-12-09
38,36,Smoke Sauna Sisterhood,147,-12.5,-71.1,3,49,8200,16,Greenwich Entertainment,2023-12-09
39,37,Clean Slate2023 Re-release,132,-14.8,-91.5,1,132,6511,9,Rialto Pictures,2023-12-09
1,1,The Boy and the Heron,3366239,-16.7,0.0,2205,1526,13011722,3,GKIDS,2023-12-10
2,3,Godzilla Minus One,2640955,-28.1,-10.7,2540,1039,25592747,10,N/A,2023-12-10
3,2,The Hunger Games: The Ballad of Songbirds & Snakes,2596108,-35.4,-35.6,3665,708,135552367,24,Lionsgate Films,2023-12-10
4,4,Trolls Band Together,1907295,-32.1,-24.5,3451,552,82970185,24,Universal Pictures,2023-12-10
5,6,Renaissance: A Film by Beyoncé,1728779,-17.8,-58.4,2542,680,28526429,10,N/A,2023-12-10
6,5,Wish,1686463,-31.0,-33.1,3410,494,49416007,19,Walt Disney Studios Motion Pictures,2023-12-10
7,7,Napoleon,1155783,-35.5,-44.0,3350,345,53010709,19,Columbia Pictures,2023-12-10
8,8,Waitress: The Musical,1092444,8.1,0.0,1214,899,3519526,4,Bleecker Street Media,2023-12-10
9,9,Animal,749427,-24.6,-56.4,632,1185,11771841,10,N/A,2023-12-10
10,10,The Shift,629366,-27.9,-44.1,2415,260,8463761,10,Angel Studios,2023-12-10
11,11,Silent Night,473905,-36.3,-37.4,1873,253,5833598,10,Lionsgate Films,2023-12-10
12,12,The Marvels,378927,-40.1,-46.8,1700,222,82962128,31,Walt Disney Studios Motion Pictures,2023-12-10
13,14,Saltburn,342837,-14.9,-35.4,707,484,8638375,24,Warner Bros.,2023-12-10
14,13,Thanksgiving,303354,-44.3,-55.3,2025,149,30473205,24,TriStar Pictures,2023-12-10
15,15,Die Hard2023 Re-release,249348,-29.6,0.0,1355,184,934421,3,Twenty First Century Entertainment,2023-12-10
16,16,The Holdovers,194910,-33.4,-42.9,923,211,16413325,45,Focus Features,2023-12-10
17,17,Dream Scenario,188438,-25.0,-59.9,1250,150,4894432,31,A24,2023-12-10
18,18,Poor Things,178393,-12.5,0.0,9,19821,661230,3,Searchlight Pictures,2023-12-10
19,19,Eileen,150272,-25.1,514.6,532,282,727540,10,N/A,2023-12-10
20,20,Oppenheimer,113845,-27.9,2749.7,1316,86,325757735,143,Universal Pictures,2023-12-10
21,22,Taylor Swift: The Eras Tour,98626,3.0,-55.7,636,155,179893649,59,N/A,2023-12-10
22,21,Love Actually2023 Re-release,83985,-23.8,0.0,927,90,283956,3,Universal Pictures,2023-12-10
23,24,Killers of the Flower Moon,57325,-31.5,-59.1,247,232,66920174,52,Paramount Pictures,2023-12-10
24,25,Journey to Bethlehem,49072,-16.3,-30.4,455,107,6442825,31,Affirm Films,2023-12-10
25,28,Radical,44390,-8.7,-50.8,150,295,8439411,38,Pantelion Films,2023-12-10
26,29,Priscilla,39552,-15.3,-61.4,230,171,20698622,45,A24,2023-12-10
27,23,The Oath,31037,-65.4,0.0,640,48,232833,3,Freestyle Releasing,2023-12-10
28,27,Origin,30000,-38.6,0.0,2,15000,117063,3,N/A,2023-12-10
29,26,Five Nights at Freddy's,29250,-41.8,-72.9,265,110,137169285,45,Universal Pictures International (UPI),2023-12-10
30,30,Next Goal Wins,17961,-57.3,-72.9,190,94,6624900,24,Searchlight Pictures,2023-12-10
31,31,Anatomy of a Fall,14259,1.0,-37.5,46,309,3572166,59,N/A,2023-12-10
32,-,Past Lives,1375,0.0,195.7,4,343,11018106,192,A24,2023-12-10
33,32,Barbie,1129,-29.9,-55.7,26,43,636207871,143,Warner Bros.,2023-12-10
34,33,Stop Making Sense2023  Re-release,986,-6.6,-47.5,8,123,5078988,80,N/A,2023-12-10
35,38,Smoke Sauna Sisterhood,292,98.6,-43.0,3,97,8492,17,Greenwich Entertainment,2023-12-10
36,39,Clean Slate2023 Re-release,271,105.3,-74.5,1,271,6782,10,Rialto Pictures,2023-12-10
37,37,Peeping Tom2023 Re-release,203,-33.4,-88.5,2,101,19343,45,N/A,2023-12-10
38,35,The Marsh King's Daughter,198,-55.0,47.8,2,99,1792089,38,Lionsgate Films,2023-12-10
39,36,After Death,195,-48.8,-82.5,9,21,11475552,45,Angel Studios,2023-12-10
1,1,The Boy and the Heron,1195695,-64.5,0.0,2205,542,14207417,4,GKIDS,2023-12-11
2,2,Godzilla Minus One,890313,-66.3,-27.3,2540,350,26483060,11,N/A,2023-12-11
3,3,The Hunger Games: The Ballad of Songbirds & Snakes,856131,-67.0,-28.5,3665,233,136408498,25,Lionsgate Films,2023-12-11
4,8,Waitress: The Musical,737269,-32.5,0.0,1214,607,4256795,5,Bleecker Street Media,2023-12-11
5,7,Napoleon,401523,-65.3,-41.3,3350,119,53412232,20,Columbia Pictures,2023-12-11
6,6,Wish,347925,-79.4,-10.5,3410,102,49763932,20,Walt Disney Studios Motion Pictures,2023-12-11
7,4,Trolls Band Together,347175,-81.8,-7.0,3451,100,83317360,25,Universal Pictures,2023-12-11
8,10,The Shift,288614,-54.1,-47.5,2415,119,8752375,11,Angel Studios,2023-12-11
9,9,Animal,252456,-66.3,-69.2,632,399,12024297,11,N/A,2023-12-11
10,13,Saltburn,179642,-47.6,-39.5,707,254,8818017,25,Warner Bros.,2023-12-11
11,11,Silent Night,172498,-63.6,-31.5,1873,92,6006096,11,Lionsgate Films,2023-12-11
12,12,The Marvels,116859,-69.2,-36.6,1700,68,83078987,32,Walt Disney Studios Motion Pictures,2023-12-11
13,15,Die Hard2023 Re-release,112898,-54.7,0.0,1355,83,1047319,4,Twenty First Century Entertainment,2023-12-11
14,14,Thanksgiving,110793,-63.5,-51.6,2025,54,30583998,25,TriStar Pictures,2023-12-11
15,17,Dream Scenario,91222,-51.6,-52.6,1250,72,4985654,32,A24,2023-12-11
16,18,Poor Things,85692,-52.0,0.0,9,9521,746922,4,Searchlight Pictures,2023-12-11
17,16,The Holdovers,80585,-58.7,-37.9,923,87,16493910,46,Focus Features,2023-12-11
18,19,Eileen,72917,-51.5,580.6,532,137,800457,11,N/A,2023-12-11
19,20,Oppenheimer,58910,-48.3,11922.4,1316,44,325816645,144,Universal Pictures,2023-12-11
20,22,Love Actually2023 Re-release,40955,-51.2,0.0,927,44,324911,4,Universal Pictures,2023-12-11
21,27,The Oath,30392,-2.1,0.0,640,47,263225,4,Freestyle Releasing,2023-12-11
22,23,Killers of the Flower Moon,24338,-57.5,-56.0,247,98,66944512,53,Paramount Pictures,2023-12-11
23,24,Journey to Bethlehem,21861,-55.5,-21.5,455,48,6464686,32,Affirm Films,2023-12-11
24,26,Priscilla,17888,-54.8,-60.9,230,77,20716510,46,A24,2023-12-11
25,29,Five Nights at Freddy's,11210,-61.7,-66.5,265,42,137180495,46,Universal Pictures International (UPI),2023-12-11
26,25,Radical,9819,-77.9,-53.2,150,65,8449230,39,Pantelion Films,2023-12-11
27,30,Next Goal Wins,9192,-48.8,-66.6,190,48,6634092,25,Searchlight Pictures,2023-12-11
28,31,Anatomy of a Fall,6683,-53.1,-30.3,46,145,3578849,60,N/A,2023-12-11
29,32,Past Lives,862,-37.3,0.0,4,215,11018968,193,A24,2023-12-11
30,33,Barbie,455,-59.7,-9.5,26,17,636208326,144,Warner Bros.,2023-12-11
31,37,Peeping Tom2023 Re-release,293,44.3,-38.3,2,146,19636,46,N/A,2023-12-11
32,34,Stop Making Sense2023  Re-release,180,-81.7,-56.5,8,22,5079168,81,N/A,2023-12-11
33,39,After Death,177,-9.2,-71.2,9,19,11475729,46,Angel Studios,2023-12-11
34,35,Smoke Sauna Sisterhood,172,-41.1,-43.0,3,57,8664,18,Greenwich Entertainment,2023-12-11
35,38,The Marsh King's Daughter,145,-26.8,-40.8,2,72,1792234,39,Lionsgate Films,2023-12-11
36,36,Clean Slate2023 Re-release,127,-53.1,-67.9,1,127,6909,11,Rialto Pictures,2023-12-11
1,1,The Boy and the Heron,1473215,23.2,0.0,2205,668,15680632,5,GKIDS,2023-12-12
2,3,The Hunger Games: The Ballad of Songbirds & Snakes,1250879,46.1,-30.5,3665,341,137659377,26,Lionsgate Films,2023-12-12
3,2,Godzilla Minus One,1191932,33.9,-30.5,2540,469,27674992,12,N/A,2023-12-12
4,5,Napoleon,575530,43.3,-43.4,3350,171,53987762,21,Columbia Pictures,2023-12-12
5,7,Trolls Band Together,543230,56.5,-12.1,3451,157,83860590,26,Universal Pictures,2023-12-12
6,6,Wish,535912,54.0,-16.8,3410,157,50299844,21,Walt Disney Studios Motion Pictures,2023-12-12
7,9,Animal,384005,52.1,-56.5,632,607,12408302,12,N/A,2023-12-12
8,8,The Shift,356309,23.5,-40.6,2415,147,9108684,12,Angel Studios,2023-12-12
9,11,Silent Night,251007,45.5,-33.8,1873,134,6257103,12,Lionsgate Films,2023-12-12
10,10,Saltburn,249309,38.8,-31.5,707,352,9067326,26,Warner Bros.,2023-12-12
11,12,The Marvels,171271,46.6,-39.2,1700,100,83250258,33,Walt Disney Studios Motion Pictures,2023-12-12
12,13,Die Hard2023 Re-release,153606,36.1,0.0,1355,113,1200925,5,Twenty First Century Entertainment,2023-12-12
13,14,Thanksgiving,143828,29.8,-50.8,2025,71,30727826,26,TriStar Pictures,2023-12-12
14,15,Dream Scenario,131107,43.7,-52.2,1250,104,5116761,33,A24,2023-12-12
15,17,The Holdovers,127360,58.0,-41.1,923,137,16621270,47,Focus Features,2023-12-12
16,18,Eileen,94307,29.3,795.0,532,177,894764,12,N/A,2023-12-12
17,19,Oppenheimer,79445,34.9,9414.4,1316,60,325896090,145,Universal Pictures,2023-12-12
18,16,Poor Things,77865,-9.1,0.0,9,8651,824787,5,Searchlight Pictures,2023-12-12
19,20,Love Actually2023 Re-release,58180,42.1,0.0,927,62,383091,5,Universal Pictures,2023-12-12
20,21,The Oath,39825,31.0,0.0,640,62,303050,5,Freestyle Releasing,2023-12-12
21,22,Killers of the Flower Moon,31807,30.7,-52.0,247,128,66976319,54,Paramount Pictures,2023-12-12
22,23,Journey to Bethlehem,27319,25.0,-26.6,455,60,6492005,33,Affirm Films,2023-12-12
23,24,Priscilla,23306,30.3,-62.6,230,101,20739816,47,A24,2023-12-12
24,27,Next Goal Wins,21005,128.5,-57.7,190,110,6655097,26,Searchlight Pictures,2023-12-12
25,4,Waitress: The Musical,16580,-97.8,0.0,1214,13,4273375,6,Bleecker Street Media,2023-12-12
26,26,Radical,15942,62.4,-55.5,150,106,8465172,40,Pantelion Films,2023-12-12
27,25,Five Nights at Freddy's,15145,35.1,-62.7,265,57,137195640,47,Universal Pictures International (UPI),2023-12-12
28,28,Anatomy of a Fall,7571,13.3,-18.5,46,164,3586420,61,N/A,2023-12-12
29,31,Peeping Tom2023 Re-release,1410,381.2,68.7,2,705,21046,47,N/A,2023-12-12
30,30,Barbie,727,59.8,-34.9,26,27,636209053,145,Warner Bros.,2023-12-12
31,32,Stop Making Sense2023  Re-release,528,193.3,-29.1,8,66,5079696,82,N/A,2023-12-12
32,36,Clean Slate2023 Re-release,238,87.4,-80.1,1,238,7147,12,Rialto Pictures,2023-12-12
33,34,Smoke Sauna Sisterhood,103,-40.1,35.5,3,34,8767,19,Greenwich Entertainment,2023-12-12
34,35,The Marsh King's Daughter,90,-37.9,-62.3,2,45,1792324,40,Lionsgate Films,2023-12-12
35,33,After Death,86,-51.4,-86.7,9,9,11475815,47,Angel Studios,2023-12-12
36,29,Past Lives,61,-92.9,-53.8,4,15,11019029,194,A24,2023-12-12
1,1,The Boy and the Heron,1310644,-11.0,0.0,2205,594,16991276,6,GKIDS,2023-12-13
2,3,Godzilla Minus One,955011,-19.9,-29.8,2540,375,28630003,13,N/A,2023-12-13
3,2,The Hunger Games: The Ballad of Songbirds & Snakes,945182,-24.4,-20.3,3665,257,138604559,27,Lionsgate Films,2023-12-13
4,4,Napoleon,447375,-22.3,-36.1,3350,133,54435137,22,Columbia Pictures,2023-12-13
5,5,Trolls Band Together,413125,-24.0,-1.5,3451,119,84273715,27,Universal Pictures,2023-12-13
6,6,Wish,411596,-23.2,0.9,3410,120,50711440,22,Walt Disney Studios Motion Pictures,2023-12-13
7,8,The Shift,303836,-14.7,-35.0,2415,125,9412520,13,Angel Studios,2023-12-13
8,10,Saltburn,206591,-17.1,-26.8,707,292,9273917,27,Warner Bros.,2023-12-13
9,7,Animal,199041,-48.2,-66.2,632,314,12607343,13,N/A,2023-12-13
10,9,Silent Night,180743,-28.0,-26.8,1873,96,6437846,13,Lionsgate Films,2023-12-13
11,11,The Marvels,131968,-22.9,-34.6,1700,77,83382226,34,Walt Disney Studios Motion Pictures,2023-12-13
12,12,Die Hard2023 Re-release,126510,-17.6,0.0,1355,93,1327435,6,Twenty First Century Entertainment,2023-12-13
13,13,Thanksgiving,114681,-20.3,-46.9,2025,56,30842507,27,TriStar Pictures,2023-12-13
14,14,Dream Scenario,104553,-20.3,-46.1,1250,83,5221314,34,A24,2023-12-13
15,15,The Holdovers,95040,-25.4,-36.9,923,102,16716310,48,Focus Features,2023-12-13
16,17,Oppenheimer,79690,0.3,14522.0,1316,60,325975780,146,Universal Pictures,2023-12-13
17,16,Eileen,78557,-16.7,713.6,532,147,973321,13,N/A,2023-12-13
18,-,Taylor Swift: The Eras Tour,73193,0.0,0.0,636,115,179966842,62,N/A,2023-12-13
19,25,Waitress: The Musical,72820,339.2,0.0,1214,59,4346195,7,Bleecker Street Media,2023-12-13
20,18,Poor Things,71360,-8.4,0.0,9,7928,896147,6,Searchlight Pictures,2023-12-13
21,19,Love Actually2023 Re-release,49340,-15.2,0.0,927,53,432431,6,Universal Pictures,2023-12-13
22,22,Journey to Bethlehem,31133,14.0,1.2,455,68,6523138,34,Affirm Films,2023-12-13
23,21,Killers of the Flower Moon,29084,-8.6,-41.7,247,117,67005403,55,Paramount Pictures,2023-12-13
24,20,The Oath,23370,-41.3,0.0,640,36,326420,6,Freestyle Releasing,2023-12-13
25,23,Priscilla,18065,-22.5,-61.6,230,78,20757881,48,A24,2023-12-13
26,27,Five Nights at Freddy's,13560,-10.5,-60.2,265,51,137209200,48,Universal Pictures International (UPI),2023-12-13
27,26,Radical,11310,-29.1,-43.8,150,75,8476482,41,Pantelion Films,2023-12-13
28,28,Anatomy of a Fall,8583,13.4,-21.1,46,186,3595003,62,N/A,2023-12-13
29,24,Next Goal Wins,8548,-59.3,-67.6,190,44,6663645,27,Searchlight Pictures,2023-12-13
30,30,Barbie,370,-49.1,-40.5,26,14,636209423,146,Warner Bros.,2023-12-13
31,29,Peeping Tom2023 Re-release,294,-79.1,-57.8,2,147,21340,48,N/A,2023-12-13
32,31,Stop Making Sense2023  Re-release,291,-44.9,-79.2,8,36,5079987,83,N/A,2023-12-13
33,33,Smoke Sauna Sisterhood,206,100.0,-40.8,3,68,8973,20,Greenwich Entertainment,2023-12-13
34,32,Clean Slate2023 Re-release,197,-17.2,-72.5,1,197,7344,13,Rialto Pictures,2023-12-13
35,34,The Marsh King's Daughter,85,-5.6,-39.3,2,42,1792409,41,Lionsgate Films,2023-12-13
36,36,Past Lives,78,27.9,0.0,4,19,11019107,195,A24,2023-12-13
37,35,After Death,28,-67.4,-91.0,9,3,11475843,48,Angel Studios,2023-12-13
1,1,The Boy and the Heron,979407,-25.3,0.0,2205,444,17970683,7,GKIDS,2023-12-14
2,3,The Hunger Games: The Ballad of Songbirds & Snakes,834302,-11.7,-27.9,3665,227,139438861,28,Lionsgate Films,2023-12-14
3,2,Godzilla Minus One,747583,-21.7,-41.6,2540,294,29377586,14,N/A,2023-12-14
4,5,Trolls Band Together,389180,-5.8,-4.5,3451,112,84662895,28,Universal Pictures,2023-12-14
5,4,Napoleon,364907,-18.4,-39.3,3350,108,54800044,23,Columbia Pictures,2023-12-14
6,6,Wish,363132,-11.8,-13.7,3410,106,51074572,23,Walt Disney Studios Motion Pictures,2023-12-14
7,-,Renaissance: A Film by Beyoncé,359868,0.0,-71.2,2542,141,28886297,14,N/A,2023-12-14
8,7,The Shift,217112,-28.5,-48.9,2415,89,9629632,14,Angel Studios,2023-12-14
9,8,Saltburn,188436,-8.8,-26.2,707,266,9462353,28,Warner Bros.,2023-12-14
10,9,Animal,166300,-16.4,-63.7,632,263,12768074,14,N/A,2023-12-14
11,10,Silent Night,133281,-26.3,-43.5,1873,71,6571127,14,Lionsgate Films,2023-12-14
12,11,The Marvels,113335,-14.1,-40.5,1700,66,83495561,35,Walt Disney Studios Motion Pictures,2023-12-14
13,15,The Holdovers,80245,-15.6,-34.0,923,86,16796555,49,Focus Features,2023-12-14
14,13,Thanksgiving,79502,-30.7,-51.9,2025,39,30922009,28,TriStar Pictures,2023-12-14
15,12,Die Hard2023 Re-release,77912,-38.4,0.0,1355,57,1405347,7,Twenty First Century Entertainment,2023-12-14
16,14,Dream Scenario,75456,-27.8,-50.1,1250,60,5296770,35,A24,2023-12-14
17,16,Oppenheimer,58485,-26.6,1020.4,1316,44,326034265,147,Universal Pictures,2023-12-14
18,17,Eileen,56732,-27.8,703.2,532,106,1030053,14,N/A,2023-12-14
19,20,Poor Things,50617,-29.1,0.0,9,5624,946764,7,Searchlight Pictures,2023-12-14
20,21,Love Actually2023 Re-release,35840,-27.4,0.0,927,38,468271,7,Universal Pictures,2023-12-14
21,22,Journey to Bethlehem,28185,-9.5,-25.9,455,61,6551323,35,Affirm Films,2023-12-14
22,23,Killers of the Flower Moon,19122,-34.3,-53.5,247,77,67024525,56,Paramount Pictures,2023-12-14
23,24,The Oath,18488,-20.9,0.0,640,28,344908,7,Freestyle Releasing,2023-12-14
24,25,Priscilla,13428,-25.7,-63.3,230,58,20771309,49,A24,2023-12-14
25,19,Waitress: The Musical,12750,-82.5,-98.1,1214,10,4358945,8,Bleecker Street Media,2023-12-14
26,18,Taylor Swift: The Eras Tour,10028,-86.3,-57.5,636,15,179992239,63,N/A,2023-12-14
27,27,Radical,8577,-24.2,-43.5,150,57,8485059,42,Pantelion Films,2023-12-14
28,29,Next Goal Wins,7866,-8.0,-64.8,190,41,6671511,28,Searchlight Pictures,2023-12-14
29,26,Five Nights at Freddy's,7190,-47.0,-71.8,265,27,137216390,49,Universal Pictures International (UPI),2023-12-14
30,28,Anatomy of a Fall,7177,-16.4,-41.1,46,156,3602180,63,N/A,2023-12-14
31,-,Winter Kills2023 Re-release,1126,0.0,0.0,2,563,77302,126,Rialto Pictures,2023-12-14
32,30,Barbie,633,71.1,-36.9,26,24,636210056,147,Warner Bros.,2023-12-14
33,31,Peeping Tom2023 Re-release,534,81.6,-23.1,2,267,21874,49,N/A,2023-12-14
34,34,Clean Slate2023 Re-release,316,60.4,-24.4,1,316,7660,14,Rialto Pictures,2023-12-14
35,37,After Death,236,742.9,-64.4,9,26,11476079,49,Angel Studios,2023-12-14
36,32,Stop Making Sense2023  Re-release,156,-46.4,-77.0,8,19,5080143,84,N/A,2023-12-14
37,36,Past Lives,135,73.1,-61.4,4,33,11019242,196,A24,2023-12-14
38,33,Smoke Sauna Sisterhood,77,-62.6,-84.9,3,25,9050,21,Greenwich Entertainment,2023-12-14
39,35,The Marsh King's Daughter,56,-34.1,-58.2,2,28,1792465,42,Lionsgate Films,2023-12-14
1,-,Wonka,14412706,0.0,0.0,4203,3429,14412706,1,Warner Bros.,2023-12-15
2,2,The Hunger Games: The Ballad of Songbirds & Snakes,1690947,102.7,-37.0,3291,513,141129808,29,Lionsgate Films,2023-12-15
3,1,The Boy and the Heron,1448154,47.9,-74.2,2325,622,19418837,8,GKIDS,2023-12-15
4,3,Godzilla Minus One,1345811,80.0,-40.9,2622,513,30723397,15,N/A,2023-12-15
5,4,Trolls Band Together,925015,137.7,-32.6,3157,293,85587910,29,Universal Pictures,2023-12-15
6,6,Wish,731406,101.4,-37.6,3100,235,51805978,24,Walt Disney Studios Motion Pictures,2023-12-15
7,5,Napoleon,630289,72.7,-46.0,2601,242,55430333,24,Columbia Pictures,2023-12-15
8,7,Renaissance: A Film by Beyoncé,553876,53.9,-66.3,1723,321,29440173,15,N/A,2023-12-15
9,19,Poor Things,491877,871.8,76.3,82,5998,1438641,8,Searchlight Pictures,2023-12-15
10,8,The Shift,305053,40.5,-50.7,1583,192,9934685,15,Angel Studios,2023-12-15
11,10,Animal,251228,51.1,-66.3,423,593,13019302,15,N/A,2023-12-15
12,9,Saltburn,221394,17.5,-34.9,476,465,9683747,29,Warner Bros.,2023-12-15
13,11,Silent Night,211333,58.6,-57.0,1172,180,6782460,15,Lionsgate Films,2023-12-15
14,14,Thanksgiving,145690,83.3,-58.8,1107,131,31067699,29,TriStar Pictures,2023-12-15
15,12,The Marvels,133264,17.6,-60.8,960,138,83628825,36,Walt Disney Studios Motion Pictures,2023-12-15
16,25,Waitress: The Musical,126120,889.2,-83.1,1117,112,4485065,9,Bleecker Street Media,2023-12-15
17,-,American Fiction,121245,0.0,0.0,7,17320,121245,1,MetroN/AGoldwynN/AMayer (MGM),2023-12-15
18,13,The Holdovers,113670,41.7,-36.9,587,193,16910225,50,Focus Features,2023-12-15
19,15,Die Hard2023 Re-release,113194,45.3,-65.8,1355,83,1518541,8,Twenty First Century Entertainment,2023-12-15
20,18,Eileen,66376,17.0,-72.9,558,118,1096429,15,N/A,2023-12-15
21,-,The Zone of Interest,58096,0.0,0.0,4,14524,58096,8,A24,2023-12-15
22,16,Dream Scenario,49955,-33.8,-71.0,323,154,5346725,36,A24,2023-12-15
23,21,Journey to Bethlehem,29924,6.2,-26.0,272,110,6581247,36,Affirm Films,2023-12-15
24,26,Taylor Swift: The Eras Tour,28025,179.5,-51.2,636,44,180020264,64,N/A,2023-12-15
25,22,Killers of the Flower Moon,25024,30.9,-51.4,132,189,67049549,57,Paramount Pictures,2023-12-15
26,23,The Oath,18697,1.1,-83.3,167,111,363605,8,Freestyle Releasing,2023-12-15
27,27,Radical,16502,92.4,-36.6,99,166,8501561,43,Pantelion Films,2023-12-15
28,24,Priscilla,15677,16.7,-56.1,115,136,20786986,50,A24,2023-12-15
29,30,Anatomy of a Fall,9784,36.3,19.9,35,279,3611964,64,N/A,2023-12-15
30,29,Five Nights at Freddy's,8965,24.7,-65.8,103,87,137225355,50,Universal Pictures International (UPI),2023-12-15
31,28,Next Goal Wins,8135,3.4,-63.0,105,77,6679646,29,Searchlight Pictures,2023-12-15
32,20,Love Actually2023 Re-release,6870,-80.8,-92.3,124,55,475141,8,Universal Pictures,2023-12-15
33,17,Oppenheimer,6395,-89.1,-93.0,122,52,326040660,148,Universal Pictures,2023-12-15
34,36,Stop Making Sense2023  Re-release,3189,1944.2,333.3,2,1594,5083332,85,N/A,2023-12-15
35,32,Barbie,2711,328.3,167.1,19,142,636212767,148,Warner Bros.,2023-12-15
36,37,Past Lives,437,223.7,666.7,4,109,11019679,197,A24,2023-12-15
37,33,Peeping Tom2023 Re-release,204,-61.8,-64.6,2,102,22078,50,N/A,2023-12-15
38,39,The Marsh King's Daughter,120,114.3,150.0,2,60,1792585,43,Lionsgate Films,2023-12-15
39,35,After Death,99,-58.1,-76.3,9,11,11476178,50,Angel Studios,2023-12-15
1,1,Wonka,14025741,-2.7,0.0,4203,3337,28438447,2,Warner Bros.,2023-12-16
2,2,The Hunger Games: The Ballad of Songbirds & Snakes,2358271,39.5,-41.3,3291,716,143488079,30,Lionsgate Films,2023-12-16
3,3,The Boy and the Heron,2128112,47.0,-47.4,2325,915,21546949,9,GKIDS,2023-12-16
4,4,Godzilla Minus One,2060961,53.1,-43.9,2622,786,32784358,16,N/A,2023-12-16
5,5,Trolls Band Together,1733215,87.4,-38.3,3157,549,87321125,30,Universal Pictures,2023-12-16
6,6,Wish,1411156,92.9,-42.3,3100,455,53217134,25,Walt Disney Studios Motion Pictures,2023-12-16
7,7,Napoleon,937367,48.7,-47.7,2601,360,56367700,25,Columbia Pictures,2023-12-16
8,8,Renaissance: A Film by Beyoncé,725168,30.9,-65.5,1723,420,30165341,16,N/A,2023-12-16
9,10,The Shift,433672,42.2,-50.3,1583,273,10368357,16,Angel Studios,2023-12-16
10,9,Poor Things,418400,-14.9,105.3,82,5102,1857041,9,Searchlight Pictures,2023-12-16
11,11,Animal,347708,38.4,-65.0,423,822,13367010,16,N/A,2023-12-16
12,13,Silent Night,315230,49.2,-57.6,1172,268,7097690,16,Lionsgate Films,2023-12-16
13,12,Saltburn,246138,11.2,-38.9,476,517,9929885,30,Warner Bros.,2023-12-16
14,15,The Marvels,237830,78.5,-62.4,960,247,83866655,37,Walt Disney Studios Motion Pictures,2023-12-16
15,14,Thanksgiving,215057,47.6,-60.5,1107,194,31282756,30,TriStar Pictures,2023-12-16
16,16,Waitress: The Musical,192110,52.3,-81.0,1117,171,4677175,10,Bleecker Street Media,2023-12-16
17,18,The Holdovers,170190,49.7,-41.8,587,289,17080415,51,Focus Features,2023-12-16
18,19,Die Hard2023 Re-release,131109,15.8,-63.0,1355,96,1649650,9,Twenty First Century Entertainment,2023-12-16
19,20,Eileen,79652,20.0,-60.3,558,142,1176081,16,N/A,2023-12-16
20,22,Dream Scenario,63543,27.2,-74.7,323,196,5410268,37,A24,2023-12-16
21,17,American Fiction,58819,-51.5,0.0,7,8402,180064,2,MetroN/AGoldwynN/AMayer (MGM),2023-12-16
